Régions;Ensemble;;;;;;;;;;;;;;;;;;;;;Hommes;;;;;;;;;;;;;;;;;;;;;Femmes;;;;;;;;;;;;;;;;;;;;
;0 à 4 ans;5 à 9 ans;10 à 14 ans;15 à 19 ans;20 à 24 ans;25 à 29 ans;30 à 34 ans;35 à 39 ans;40 à 44 ans;45 à 49 ans;50 à 54 ans;55 à 59 ans;60 à 64 ans;65 à 69 ans;70 à 74 ans;75 à 79 ans;80 à 84 ans;85 à 89 ans;90 à 94 ans;95 ans et plus;Total;0 à 4 ans;5 à 9 ans;10 à 14 ans;15 à 19 ans;20 à 24 ans;25 à 29 ans;30 à 34 ans;35 à 39 ans;40 à 44 ans;45 à 49 ans;50 à 54 ans;55 à 59 ans;60 à 64 ans;65 à 69 ans;70 à 74 ans;75 à 79 ans;80 à 84 ans;85 à 89 ans;90 à 94 ans;95 ans et plus;Total;0 à 4 ans;5 à 9 ans;10 à 14 ans;15 à 19 ans;20 à 24 ans;25 à 29 ans;30 à 34 ans;35 à 39 ans;40 à 44 ans;45 à 49 ans;50 à 54 ans;55 à 59 ans;60 à 64 ans;65 à 69 ans;70 à 74 ans;75 à 79 ans;80 à 84 ans;85 à 89 ans;90 à 94 ans;95 ans et plus;Total
Occitanie;262 631;318 467;355 990;375 498;344 641;337 940;349 921;375 678;382 616;381 286;401 404;408 872;413 026;389 363;362 193;341 194;205 239;135 491;78 926;26 612;6 246 988;134 469;162 707;181 603;193 993;177 444;170 828;173 070;183 674;185 349;186 645;196 370;199 126;199 890;184 624;169 237;154 047;88 591;52 962;25 945;5 908;3 026 482;128 162;155 760;174 387;181 505;167 197;167 112;176 851;192 004;197 267;194 641;205 034;209 746;213 136;204 739;192 956;187 147;116 648;82 529;52 981;20 704;3 220 506
Pays de la Loire;185 772;219 062;245 490;255 476;221 843;216 839;225 139;242 349;249 488;244 768;258 769;247 709;243 643;233 010;219 189;201 870;109 221;81 430;47 631;16 528;3 965 226;95 753;113 306;125 647;132 491;115 606;110 404;112 827;120 504;123 238;122 346;129 245;122 878;118 737;111 160;101 160;90 927;46 283;30 992;15 235;3 413;1 942 152;90 019;105 756;119 843;122 985;106 237;106 435;112 312;121 845;126 250;122 422;129 524;124 831;124 906;121 850;118 029;110 943;62 938;50 438;32 396;13 115;2 023 074
Provence-Alpes-Côte d'Azur;237 542;265 984;299 899;301 338;269 672;284 753;296 532;325 648;328 002;324 756;338 992;350 034;353 523;326 505;303 575;291 600;192 080;127 405;72 698;27 832;5 318 370;121 230;137 387;153 968;156 637;139 237;141 273;143 918;157 748;157 911;158 048;165 277;168 790;168 016;151 836;138 496;129 674;81 293;50 146;23 767;6 664;2 551 316;116 312;128 597;145 931;144 701;130 435;143 480;152 614;167 900;170 091;166 708;173 715;181 244;185 507;174 669;165 079;161 926;110 787;77 259;48 931;21 168;2 767 054
France métropolitaine;3 089 484;3 591 617;4 014 019;4 129 848;3 813 646;3 874 479;3 937 597;4 217 488;4 238 883;4 114 704;4 321 317;4 285 025;4 201 106;3 871 186;3 564 588;3 293 534;1 888 242;1 326 566;753 590;265 926;66 792 845;1 580 283;1 843 966;2 053 942;2 136 150;1 955 682;1 947 928;1 950 905;2 073 572;2 070 912;2 029 593;2 141 035;2 106 655;2 038 363;1 829 404;1 636 247;1 476 949;804 180;505 363;234 883;57 698;32 473 710;1 509 201;1 747 651;1 960 077;1 993 698;1 857 964;1 926 551;1 986 692;2 143 916;2 167 971;2 085 111;2 180 282;2 178 370;2 162 743;2 041 782;1 928 341;1 816 585;1 084 062;821 203;518 707;208 228;34 319 135
Guadeloupe;16 431;20 025;21 965;22 779;17 120;16 661;17 336;19 815;20 856;21 319;28 415;30 607;32 382;29 089;24 044;19 182;12 359;7 060;3 719;1 422;382 586;8 230;10 402;11 277;12 069;8 445;7 508;7 274;8 226;8 546;8 819;12 187;13 832;15 291;13 870;10 738;8 314;5 285;2 919;1 266;419;174 917;8 201;9 623;10 688;10 710;8 675;9 153;10 062;11 589;12 310;12 500;16 228;16 775;17 091;15 219;13 306;10 868;7 074;4 141;2 453;1 003;207 669
Martinique;14 901;18 467;19 005;19 553;14 535;15 295;16 576;19 387;19 280;19 180;25 151;29 309;32 205;28 839;23 985;18 185;11 849;7 932;3 695;1 489;358 818;7 542;9 409;9 846;10 192;7 080;6 964;6 973;8 095;8 152;8 366;11 009;13 714;14 689;13 425;10 641;8 068;5 155;3 054;1 178;406;163 958;7 359;9 058;9 159;9 361;7 455;8 331;9 603;11 292;11 128;10 814;14 142;15 595;17 516;15 414;13 344;10 117;6 694;4 878;2 517;1 083;194 860
Guyane;26 257;32 928;29 786;28 243;20 447;19 569;19 411;20 304;19 300;17 382;15 429;13 964;11 373;8 998;6 713;4 069;2 280;1 319;507;275;298 554;13 319;16 792;14 821;14 363;9 533;8 714;8 648;9 605;8 848;8 073;7 136;7 096;5 465;4 456;3 322;1 967;1 092;513;176;102;144 041;12 938;16 136;14 965;13 880;10 914;10 855;10 763;10 699;10 452;9 309;8 293;6 868;5 908;4 542;3 391;2 102;1 188;806;331;173;154 513
La Réunion;54 099;62 648;68 185;65 500;47 736;47 053;53 153;58 161;57 760;58 356;60 119;64 993;63 654;50 141;39 638;26 368;16 433;10 758;4 501;1 729;910 985;26 617;31 754;34 860;33 526;23 491;21 276;23 550;26 181;26 148;26 659;28 645;31 788;31 460;24 232;18 169;12 029;7 043;4 009;1 467;471;433 375;27 482;30 894;33 325;31 974;24 245;25 777;29 603;31 980;31 612;31 697;31 474;33 205;32 194;25 909;21 469;14 339;9 390;6 749;3 034;1 258;477 610
Mayotte;53 140;49 639;45 226;33 784;21 812;22 534;23 151;22 454;18 851;15 170;9 856;7 994;5 555;3 803;2 146;1 511;834;425;165;158;338 208;26 844;24 421;22 294;16 337;9 177;9 072;9 562;9 970;8 864;7 994;5 039;4 143;2 942;2 031;1 036;719;415;189;78;69;161 196;26 296;25 218;22 932;17 447;12 635;13 462;13 589;12 484;9 987;7 176;4 817;3 851;2 613;1 772;1 110;792;419;236;87;89;177 012
DOM;164 828;183 707;184 167;169 859;121 650;121 112;129 627;140 121;136 047;131 407;138 970;146 867;145 169;120 870;96 526;69 315;43 755;27 494;12 587;5 073;2 289 151;82 552;92 778;93 098;86 487;57 726;53 534;56 007;62 077;60 558;59 911;64 016;70 573;69 847;58 014;43 906;31 097;18 990;10 684;4 165;1 467;1 077 487;82 276;90 929;91 069;83 372;63 924;67 578;73 620;78 044;75 489;71 496;74 954;76 294;75 322;62 856;52 620;38 218;24 765;16 810;8 422;3 606;1 211 664
France métropolitaine et DOM;3 254 312;3 775 324;4 198 186;4 299 707;3 935 296;3 995 591;4 067 224;4 357 609;4 374 930;4 246 111;4 460 287;4 431 892;4 346 275;3 992 056;3 661 114;3 362 849;1 931 997;1 354 060;766 177;270 999;69 081 996;1 662 835;1 936 744;2 147 040;2 222 637;2 013 408;2 001 462;2 006 912;2 135 649;2 131 470;2 089 504;2 205 051;2 177 228;2 108 210;1 887 418;1 680 153;1 508 046;823 170;516 047;239 048;59 165;33 551 197;1 591 477;1 838 580;2 051 146;2 077 070;1 921 888;1 994 129;2 060 312;2 221 960;2 243 460;2 156 607;2 255 236;2 254 664;2 238 065;2 104 638;1 980 961;1 854 803;1 108 827;838 013;527 129;211 834;35 530 799
